number,value,state,params_beta1,params_beta2,params_beta3,params_gamma,params_lambda_,params_rho,params_tau_d,params_tau_i,datetime_start,datetime_complete,duration
0,0.8208955223377516,COMPLETE,0.31973169683940733,0.43120372808848734,0.13119890406724052,0.3232334448672798,1.3394334706750481,39.2797576724562,14.363502971184062,0.8605714451279329,2026-07-17 16:57:26.699384,2026-07-17 16:58:11.280117,0 days 00:00:44.580733
1,0.8021390373827489,COMPLETE,0.3939819704323989,0.5664885281600843,0.14246782213565523,0.3727299868828402,0.17322667470546263,10.823379771832098,20.02787529358022,0.6664580622368363,2026-07-17 16:58:11.280308,2026-07-17 16:58:51.218995,0 days 00:00:39.938687
2,0.826530612194509,COMPLETE,0.2582458280396084,0.5223705789444759,0.12789877213040837,0.41685785941408726,0.2996730909710158,27.27780074568463,12.606056073988443,0.5198051453057903,2026-07-17 16:58:51.219250,2026-07-17 16:59:33.992444,0 days 00:00:42.773194
3,0.8170426064659719,COMPLETE,0.30284688768272233,0.5184829137724085,0.10929008254399955,0.5430179407605753,0.1666698328606642,17.98695128633439,16.4017496054259,0.728140769114411,2026-07-17 16:59:33.992680,2026-07-17 17:00:14.796317,0 days 00:00:40.803637
4,0.8211586901259802,COMPLETE,0.3616794696232922,0.4609227538346741,0.11953442280127678,0.5736932106048627,0.37381058681917967,48.625281322982374,6.6262898246319875,0.8591084298026667,2026-07-17 17:00:14.796565,2026-07-17 17:00:58.773307,0 days 00:00:43.976742
5,0.8177083332829088,COMPLETE,0.3818640804157564,0.4517559963200034,0.23250445687079638,0.42468443043576437,0.4749239763680408,11.375540844608736,8.05095587111947,0.4961415280890161,2026-07-17 17:00:58.773546,2026-07-17 17:01:40.369613,0 days 00:00:41.596067
6,0.8274111674623167,COMPLETE,0.35502656467222293,0.5878997883128378,0.27896547008552974,0.5391599915244341,1.5826541904647566,48.783385110582344,18.66775698358199,0.24788356442042164,2026-07-17 17:01:40.369955,2026-07-17 17:02:25.670521,0 days 00:00:45.300566
7,0.8203883494643075,COMPLETE,0.2650660661526529,0.4777354579378964,0.1542698063547792,0.6314950036607717,0.2911701023242742,11.809091556421523,7.2123125512979875,0.25678628993531616,2026-07-17 17:02:25.670786,2026-07-17 17:03:07.450159,0 days 00:00:41.779373
8,0.8274111674623167,COMPLETE,0.36043939615080794,0.4149101287359542,0.29737738732010344,0.6088979077186629,0.181357308677834,15.636968998990506,12.023362742184519,0.5341568665265988,2026-07-17 17:03:07.450393,2026-07-17 17:03:48.832254,0 days 00:00:41.381861
9,0.8307692307188258,COMPLETE,0.3458014336081975,0.5542540693371891,0.11480893034681808,0.443386291417709,0.14149761574941422,38.274293753904686,5.13805292809006,0.7523691427638673,2026-07-17 17:03:48.832499,2026-07-17 17:04:32.652545,0 days 00:00:43.820046
10,0.8153477217723307,COMPLETE,0.20359237512296396,0.5339664382709565,0.19067396235745213,0.6839082983781679,0.7900924644605684,30.721486579780603,28.628413605759665,0.10479774636465367,2026-07-17 17:04:32.652881,2026-07-17 17:05:15.984509,0 days 00:00:43.331628
11,0.8295165393898205,COMPLETE,0.3317225626954779,0.5904481710546119,0.29769055342572714,0.49669194576393344,1.648899034016972,49.47491415713678,23.72059027790487,0.2852014977226824,2026-07-17 17:05:15.984697,2026-07-17 17:06:01.009257,0 days 00:00:45.024560
12,0.8217054263061728,COMPLETE,0.3280805115091065,0.5927176428566507,0.23790732022412842,0.47730208576802213,0.7595573929606476,41.61612441196792,24.871765747851832,0.34674186987795497,2026-07-17 17:06:01.009550,2026-07-17 17:06:44.683828,0 days 00:00:43.674278
13,0.826530612194509,COMPLETE,0.2915213516040792,0.5577276773009945,0.18963279658208643,0.4752520669964537,0.10364660627738806,40.286566124284526,22.97053260157238,0.6673874401095262,2026-07-17 17:06:44.684007,2026-07-17 17:07:28.286761,0 days 00:00:43.602754
14,0.8241206029647421,COMPLETE,0.33710092162578686,0.5585342944832852,0.2522718461082443,0.4848459033604512,1.9762777418078008,33.28634939332198,26.859007459815736,0.4012733303013838,2026-07-17 17:07:28.287005,2026-07-17 17:08:11.187477,0 days 00:00:42.900472
15,0.826530612194509,COMPLETE,0.279996139876743,0.4988889572772329,0.180914609051163,0.3897714784297324,0.7486761942173906,44.78562676880834,29.961269075911638,0.12899015049591767,2026-07-17 17:08:11.187763,2026-07-17 17:08:54.462771,0 days 00:00:43.275008
16,0.8083989500808096,COMPLETE,0.3132461962342485,0.5996611687277219,0.21546098988692555,0.3018960478612357,0.10386745234745694,35.192025180623496,10.004776616843625,0.7582408703056911,2026-07-17 17:08:54.462988,2026-07-17 17:09:36.360894,0 days 00:00:41.897906
17,0.8190954773366039,COMPLETE,0.23660660057008812,0.5443890961121406,0.16831001898709846,0.5143955780878761,0.5309764006618021,23.11941285873849,5.049725055873299,0.5957835079727288,2026-07-17 17:09:36.361126,2026-07-17 17:10:17.829138,0 days 00:00:41.468012
18,0.8350515463413342,COMPLETE,0.3406807500462869,0.5791467587819955,0.26279874111556634,0.43312966514646717,1.0870328415148245,44.6431390422366,21.855988093291327,0.40396342434325805,2026-07-17 17:10:17.829359,2026-07-17 17:11:01.893524,0 days 00:00:44.064165
19,0.8259740259235999,COMPLETE,0.379480454232574,0.5716218570661099,0.2653734621931675,0.4439450683019685,1.1515664052999288,36.5571226472887,20.068438594803524,0.41535881147276105,2026-07-17 17:11:01.893789,2026-07-17 17:11:44.695642,0 days 00:00:42.801853
